Review,Rating,One-word Review,Product ID
"Exlent phone
Exlent cam
Exlent display
Exlent battery
Exlent build",5,Brilliant,MOBGXTYZZBUPYFEC
"Good product, camara good, battery good, amazing performance",5,Simply awesome,MOBGXTYZZBUPYFEC
"Everything is amazing. Cameras, design, looks, feel, UX everything is great. The battery is lil avg due to such a bright and beautiful display.",4,Very Good,MOBGXTYZZBUPYFEC
Produc is good with its premium class in budget. I've been a Motorola user for the past 10 years. A little disappointed with battery life its consumption is fast but the device is epic with its performance. Love the camera performance.,5,Perfect product!,MOBGXTYZZBUPYFEC
"It's a quick review, will do a more detailed review soon.
PROs: 1) aesthetically, a decent device.
2) Awesome display and colors.
3) Pretty fast with SD 12 RAM.
4) Waterproof and very light weight device.
5) supports fast charging and adapter in the box.
6) very thin device with minimal bezels on top and bottom.
7) Vegan leather back finish is amazing.

And the fragrance that hits you once you open the box is just amazing 🤩

CONs: if I find any, will edit the review.",5,Mind-blowing purchase,MOBGXTYZZBUPYFEC
All is good except heating problem......,4,Worth the money,MOBGXTYZZBUPYFEC
Overall good In this price segment 👍,5,Great product,MOBGXTYZZBUPYFEC
Awesome phone,5,Terrific,MOBGXTYZZBUPYFEC
"Action speak louder then words 🤳
Good design, good performance, good battery life , outstanding 6x optical zoom camera ........no doubt this smartphone an art",5,Highly recommended,MOBGXTYZZBUPYFEC
Very Nice Performance,5,Perfect product!,MOBGXTYZZBUPYFEC
Amazing colour ... photography sharp....light weight too....great deal,4,Value-for-money,MOBGXTYZZBUPYFEC
All Rounder in this segment,5,Best in the market!,MOBGXTYZZBUPYFEC
