Review,Rating,One-word Review,Product ID
This phone very excellent 👌👌👌12/256 RAM /ROM😍,4,Nice product,MOBGVMQS98EEEKTZ
At this range it's a excellent phone.. It's support to 5G is amazing.. Overall fantastic. I recommend ppl to buy it..,4,Delightful,MOBGVMQS98EEEKTZ
One of the best phones I have used till now. Such a premium experience and white colour looks super cool and I loved it.,5,Worth every penny,MOBGVMQS98EEEKTZ
Nice Product. Camera quality awesome.,5,Fabulous!,MOBGVMQS98EEEKTZ
Good phone. Look and feel is good in hand. Best at this price range,5,Just wow!,MOBGVMQS98EEEKTZ
Best,5,Mind-blowing purchase,MOBGVMQS98EEEKTZ
"Phone is really good in performance, features and camera in this price range.",5,Awesome,MOBGVMQS98EEEKTZ
"Purchased 256/12 its clean and best os experience on this budget rate.. nice flat display and dynamic refresh rate, no thermal issues, cam fix is waiting.. good call reception, sterio speaker is ok, overall balanced.. battery detail on 1or 2week , optimisation and wellbeing is on more cycles",5,Worth every penny,MOBGVMQS98EEEKTZ
"Product is awesome.
Build quality - 4/5
Camera - 4/5
Performance - 4/5
Display - 5/5
Sound - 5/5
Storage - 3/5
Connectivity - 4.5/5",5,Brilliant,MOBGVMQS98EEEKTZ
incredible 😍 at the his price,3,Good,MOBGVMQS98EEEKTZ
"I think the camera quality is decent...I would like to give 4.1 out of 5 in camera department... battery backup is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for it",5,Worth every penny,MOBGVMQS98EEEKTZ
But heating issue is then playing game,5,Mind-blowing purchase,MOBGVMQS98EEEKTZ
Good product and nice price,5,Worth every penny,MOBGVMQS98EEEKTZ
Nice product value for money 💰💰💰,5,Terrific,MOBGVMQS98EEEKTZ
"Nothing 2a has EXCEEDED my expectations, being a midrange phone it looks, feels and performs as a flagship..it's definately an eye grabber, glyphs are not just for the show but has real life uses.. one drawback though is finger prints are all over the phone, it's too glossy, or may be because I got the black one.. but other than that this phone is lit 🔥 Good job Nothing.. I'm sure my next phone is gonna be Nothing 3? Hoping for the best",5,Perfect product!,MOBGVMQS98EEEKTZ
"What a stunning product!!! For me the special edition design is the best among all the Nothing 2(a) variants. Design, Camera and Performance deserves 5/5 star reviews. Really worth every penny. Only negative I would like to point out is that they could have provided a transparent back case in the package.",5,Awesome,MOBGVMQS98EEEKTZ
Good phone at this price range...best part of this mobile is user experience which is fantastic keeping in view OS of nothing...updates on time...need little improvement in camera field. Overall good phone at this price range...,4,Nice product,MOBGVMQS98EEEKTZ
Good,4,Really Nice,MOBGVMQS98EEEKTZ
"No fast charger included in the box and other fast chargers (from Xiaomi, realme, oppo) I have do not support this.",3,Does the job,MOBGVMQS98EEEKTZ
Good 💯,5,Classy product,MOBGVMQS98EEEKTZ
Very satisfied! 😌,5,Fabulous!,MOBGVMQS98EEEKTZ
"Everything is good but performance in PUBG is not good i hope nothing will fix it.( and Now Nothing fix this problem with their second update, now i am enjoying smooth gameplay) And on the other side the camera is good, stock Android wow, front looks amazing overall is good under 25k.
But if the charger comes with the box it should be better.",4,Wonderful,MOBGVMQS98EEEKTZ
Night camera spr 🤩🥳,4,Nice product,MOBGVMQS98EEEKTZ
