Review,Rating,One-word Review,Product ID
"Best in this price Range ,Best photo in Night also",5,Worth every penny,MOBGFPE5BHY8QGEH
Good,5,Terrific purchase,MOBGFPE5BHY8QGEH
"Phone is good, no heating issues and easy to operate.
Botha the cameras are okay, night camera mode is good.
Fast charging is best, full charge in 20 minutes.",4,Really Nice,MOBGFPE5BHY8QGEH
Wonderful wonderful,5,Highly recommended,MOBGFPE5BHY8QGEH
Super super,4,Pretty good,MOBGFPE5BHY8QGEH
"Amazing Camera And Look🥰
Just Love this Phone",5,Excellent,MOBGFPE5BHY8QGEH
A good camera phone,5,Classy product,MOBGFPE5BHY8QGEH
Ok,4,Good choice,MOBGFPE5BHY8QGEH
Ultimate night camera,5,Great product,MOBGFPE5BHY8QGEH
"Camera is awesome, battery is also working fine.😍 Loved it",5,Great product,MOBGFPE5BHY8QGEH
"Oppo cemra phone ☺️☺️☺️☺️
Lovely",5,Excellent,MOBGFPE5BHY8QGEH
Best camera,4,Value-for-money,MOBGFPE5BHY8QGEH
"Good Camera, Thanks Flipkart",5,Brilliant,MOBGFPE5BHY8QGEH
Oppo Reno 8 5g camera best quality and price is costly performance better fast charging and display quality better,5,Worth every penny,MOBGFPE5BHY8QGEH
Super,5,Perfect product!,MOBGFPE5BHY8QGEH
Nice camera performance in low light,5,Terrific purchase,MOBGFPE5BHY8QGEH
Fabulous mobile phone,5,Wonderful,MOBGFPE5BHY8QGEH
"I like its design very much.
Battery back up is very good.
Fast charging super ( full charge 30 min). Fingerprint works fast.
Camera is good.
Night photos are great.
All good.
100/90❤️",4,Nice product,MOBGFPE5BHY8QGEH
"I love oppo Reno 8 bcoz camera quality, video , totally awesome,,😍🤩",5,Just wow!,MOBGFPE5BHY8QGEH
"1. Its Good camera phone
2. Selfie camera is taking really good images during day and indore condition
3. Back camera is also Good but i like selfie more
4. During purchase of mobile i am confused Between Iquoo Neo 6 & Reno 8 but finally Purchased Reno 8
5. As my priority is camera phone i am happy to choose Reno 8 after testing its camera",4,Really Nice,MOBGFPE5BHY8QGEH
Good.. but I can't find a natural pictures,4,Worth the money,MOBGFPE5BHY8QGEH
Overall ok,4,Really Nice,MOBGFPE5BHY8QGEH
